name,price,sqft,high_rise,furnished,bath,bed,parking
"Lakeville Residence, Jalan Ipoh","RM 4,000",1359 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Waldorf Tower, Sri Hartamas","RM 3,500",1462 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Lakeville Residence, Jalan Ipoh","RM 1,800",948 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"VIVO Suites @ 9 Seputeh, Old Klang Road","RM 1,500",400 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"widuri impian condo, desa petaling","RM 1,350",956 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"Lakeville Residence, Jalan Ipoh","RM 2,300",1350 sqft,High-Rise,Partially furnished,2 bath,4 bed,2 parking
38 bidara,"RM 2,500",782 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
Sky Awani Condominium,"RM 2,000",800 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Menara Pelangi, Brickfields","RM 510,000",967 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Central Residence sungai Besi,"RM 1,600",1122 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
Sri TTDI condominium,"RM 2,600",1200 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"3 Towers, Ampang Hilir","RM 2,200",869 sqft,High-Rise,Partially furnished,1 bath,1 bed,0 parking
"warisan cityview, cheras","RM 1,380",910 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
bintang mas,RM 650,500 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
exsim | expressionz professional suites @ tun razak,"RM 6,100",921 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
3-Bedroom Fully Furnished Low Density Setapak Condo - 15mins To KL,"RM 1,900",1124 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Vista Amani Condominium,"RM 1,600",1100 sqft,High-Rise,Partially furnished,2 bath,4 bed,1 parking
"Changkat View, Dutamas","RM 1,900",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
