name,price,sqft,high_rise,furnished,bath,bed,parking
desa villa,"RM 2,000",1250 sqft,High-Rise,Partially furnished,2 bath,2 bed,0 parking
"Platinum Lake PV21, Setapak","RM 1,600",900 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"ZetaPark, Setapak","RM 1,500",618 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
changkat view,"RM 2,393",1000 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Danau Impian,RM 800,1000 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Prima Setapak I, Setapak","RM 1,300",1000 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Trinity Aquata, Sungai Besi","RM 2,000",893 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"One Mesraria, Old Klang Road","RM 1,950",1300 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Cendana Apartment, Bandar Sri Permaisuri",RM 850,650 sqft,High-Rise,Unfurnished,2 bath,3 bed,0 parking
"Platinum Lake PV15, Setapak",RM 450,1400 sqft,High-Rise,Fully furnished,2 bath,4 bed,1 parking
"Midfields 2, Sungai Besi","RM 1,600",1099 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
"Trinity Aquata, Sungai Besi","RM 2,000",1151 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"The Nest, Setapak","RM 2,000",860 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"MH Platinum Residency, Setapak","RM 1,750",1018 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Cendana Apartment, Bandar Sri Permaisuri",RM 850,650 sqft,High-Rise,Unfurnished,2 bath,3 bed,0 parking
"Abadi Villa, Taman Desa","RM 1,700",1280 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Trinity Aquata, Sungai Besi","RM 2,500",839 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Lido Residency, Bandar Sri Permaisuri","RM 2,500",1108 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Pantai Hillpark 2, Pantai","RM 1,950",1200 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Bourgainvilla Apartment,RM 650,750 sqft,High-Rise,Unfurnished,2 bath,2 bed,1 parking
Court 28 Residence @ KL CITY,"RM 2,400",906 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
Kiara 163,"RM 3,000",658 sqft,High-Rise,Unfurnished,1 bath,0 bed,0 parking
the reach @ titiwangsa,"RM 4,000",1528 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
Clearwater Residence,"RM 3,600",988 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
